caractere,pinyin,initial_raw,finale,groupe_rime,type,tone,nasal,initial,lieu,polarite
禁,jin1,j,in,Médiale-i,nasal,1,1,j,Palatale,1P+2N
禂,dao3,d,ao,Simple,oral,3,0,d,Dentale,1P+2N
禄,lu4,l,u,Simple,oral,4,0,l,Dentale,3P
禅,shan4,sh,an,Nasal,nasal,4,1,sh,Rétroflexe,1P+2N
禇,chu3,ch,u,Simple,oral,3,0,ch,Rétroflexe,3P
禊,xi4,x,i,Simple,oral,4,0,x,Palatale,1P+2N
禋,yin1,y,in,Médiale-i,nasal,1,1,y,Semi-voyelle,2P+1N
福,fu2,f,u,Simple,oral,2,0,f,Labiale,2P+1N
禔,ti2,t,i,Simple,oral,2,0,t,Dentale,3P
禖,mei2,m,ei,Simple,oral,2,0,m,Labiale,1P+2N
禘,di4,d,i,Simple,oral,4,0,d,Dentale,1P+2N
禚,zhuo2,zh,uo,Médiale-u,oral,2,0,zh,Rétroflexe,1P+2N
禛,zhen1,zh,en,Nasal,nasal,1,1,zh,Rétroflexe,1P+2N
禜,yong3,y,iong,Médiale-i,nasal,3,1,y,Semi-voyelle,2P+1N
禝,ji4,j,i,Simple,oral,4,0,j,Palatale,1P+2N
禠,si1,s,i,Simple,oral,1,0,s,Sifflante,1P+2N
禢,ta4,t,a,Simple,oral,4,0,t,Dentale,3P
禤,xuan1,x,üan,Complexe,nasal,1,1,x,Palatale,1P+2N
禥,qi2,q,i,Simple,oral,2,0,q,Palatale,2P+1N
禧,xi3,x,i,Simple,oral,3,0,x,Palatale,1P+2N
禨,ji1,j,i,Simple,oral,1,0,j,Palatale,1P+2N
禫,tan3,t,an,Nasal,nasal,3,1,t,Dentale,3P
禳,rang2,r,ang,Nasal,nasal,2,1,r,Rétroflexe,1P+2N
禴,yue4,y,üe,Complexe,oral,4,0,y,Semi-voyelle,2P+1N
禸,rou2,r,ou,Simple,oral,2,0,r,Rétroflexe,1P+2N
禹,yu3,y,ü,Simple,oral,3,0,y,Semi-voyelle,2P+1N
禺,yu2,y,ü,Simple,oral,2,0,y,Semi-voyelle,2P+1N
离,li2,l,i,Simple,oral,2,0,l,Dentale,3P
禽,qin2,q,in,Médiale-i,nasal,2,1,q,Palatale,2P+1N
禾,he2,h,e,Simple,oral,2,0,h,Vélaire,2P+1N
秀,xiu4,x,iu,Médiale-i,oral,4,0,x,Palatale,1P+2N
私,si1,s,i,Simple,oral,1,0,s,Sifflante,1P+2N
秃,tu1,t,u,Simple,oral,1,0,t,Dentale,3P
秆,gan3,g,an,Nasal,nasal,3,1,g,Vélaire,1P+2N
秈,xian1,x,ian,Médiale-i,nasal,1,1,x,Palatale,1P+2N
秉,bing3,b,ing,Médiale-i,nasal,3,1,b,Labiale,1P+2N
秋,qiu1,q,iu,Médiale-i,oral,1,0,q,Palatale,2P+1N
种,zhong3,zh,ong,Médiale-u,nasal,3,1,zh,Rétroflexe,1P+2N
秏,hao4,h,ao,Simple,oral,4,0,h,Vélaire,2P+1N
科,ke1,k,e,Simple,oral,1,0,k,Vélaire,1P+2N
秒,miao3,m,iao,Médiale-i,oral,3,0,m,Labiale,1P+2N
秕,bi3,b,i,Simple,oral,3,0,b,Labiale,1P+2N
秘,mi4,m,i,Simple,oral,4,0,m,Labiale,1P+2N
秚,ban4,b,an,Nasal,nasal,4,1,b,Labiale,1P+2N
秜,ni2,n,i,Simple,oral,2,0,n,Dentale,1P+2N
租,zu1,z,u,Simple,oral,1,0,z,Sifflante,1P+2N
秠,pi1,p,i,Simple,oral,1,0,p,Labiale,2P+1N
秣,mo4,m,o,Simple,oral,4,0,m,Labiale,1P+2N
