caractere,pinyin,initial_raw,finale,groupe_rime,type,tone,nasal,initial,lieu,polarite
尜,ga2,g,a,Simple,oral,2,0,g,Vélaire,1P+2N
尝,chang2,ch,ang,Nasal,nasal,2,1,ch,Rétroflexe,3P
尢,wang1,w,uang,Médiale-u,nasal,1,1,w,Semi-voyelle,2P+1N
尤,you2,y,iu,Médiale-i,oral,2,0,y,Semi-voyelle,2P+1N
尥,liao4,l,iao,Médiale-i,oral,4,0,l,Dentale,3P
尧,yao2,y,iao,Médiale-i,oral,2,0,y,Semi-voyelle,2P+1N
尨,pang2,p,ang,Nasal,nasal,2,1,p,Labiale,2P+1N
尩,wang1,w,uang,Médiale-u,nasal,1,1,w,Semi-voyelle,2P+1N
尪,wang1,w,uang,Médiale-u,nasal,1,1,w,Semi-voyelle,2P+1N
尬,ga4,g,a,Simple,oral,4,0,g,Vélaire,1P+2N
尭,yao2,y,iao,Médiale-i,oral,2,0,y,Semi-voyelle,2P+1N
尰,zhong3,zh,ong,Médiale-u,nasal,3,1,zh,Rétroflexe,1P+2N
就,jiu4,j,iu,Médiale-i,oral,4,0,j,Palatale,1P+2N
尲,gan1,g,an,Nasal,nasal,1,1,g,Vélaire,1P+2N
尴,gan1,g,an,Nasal,nasal,1,1,g,Vélaire,1P+2N
尶,gan1,g,an,Nasal,nasal,1,1,g,Vélaire,1P+2N
尸,shi1,sh,i,Simple,oral,1,0,sh,Rétroflexe,1P+2N
尹,yin3,y,in,Médiale-i,nasal,3,1,y,Semi-voyelle,2P+1N
尺,chi3,ch,i,Simple,oral,3,0,ch,Rétroflexe,3P
尻,kao1,k,ao,Simple,oral,1,0,k,Vélaire,1P+2N
尼,ni2,n,i,Simple,oral,2,0,n,Dentale,1P+2N
尽,jin4,j,in,Médiale-i,nasal,4,1,j,Palatale,1P+2N
尾,wei3,w,ui,Médiale-u,oral,3,0,w,Semi-voyelle,2P+1N
尿,niao4,n,iao,Médiale-i,oral,4,0,n,Dentale,1P+2N
局,ju2,j,ü,Simple,oral,2,0,j,Palatale,1P+2N
屁,pi4,p,i,Simple,oral,4,0,p,Labiale,2P+1N
层,ceng2,c,eng,Nasal,nasal,2,1,c,Sifflante,1P+2N
屃,xi4,x,i,Simple,oral,4,0,x,Palatale,1P+2N
屄,bi1,b,i,Simple,oral,1,0,b,Labiale,1P+2N
居,ju1,j,ü,Simple,oral,1,0,j,Palatale,1P+2N
屇,tian2,t,ian,Médiale-i,nasal,2,1,t,Dentale,3P
屈,qu1,q,ü,Simple,oral,1,0,q,Palatale,2P+1N
屉,ti4,t,i,Simple,oral,4,0,t,Dentale,3P
届,jie4,j,ie,Médiale-i,oral,4,0,j,Palatale,1P+2N
屋,wu1,w,u,Simple,oral,1,0,w,Semi-voyelle,2P+1N
屌,diao3,d,iao,Médiale-i,oral,3,0,d,Dentale,1P+2N
屎,shi3,sh,i,Simple,oral,3,0,sh,Rétroflexe,1P+2N
屏,ping2,p,ing,Médiale-i,nasal,2,1,p,Labiale,2P+1N
屐,ji1,j,i,Simple,oral,1,0,j,Palatale,1P+2N
屑,xie4,x,ie,Médiale-i,oral,4,0,x,Palatale,1P+2N
展,zhan3,zh,an,Nasal,nasal,3,1,zh,Rétroflexe,1P+2N
屖,xi1,x,i,Simple,oral,1,0,x,Palatale,1P+2N
屘,man3,m,an,Nasal,nasal,3,1,m,Labiale,1P+2N
屙,e1,,e,Simple,oral,1,0,Ø,Zero,3N
屛,ping2,p,ing,Médiale-i,nasal,2,1,p,Labiale,2P+1N
屝,fei4,f,ei,Simple,oral,4,0,f,Labiale,2P+1N
属,shu3,sh,u,Simple,oral,3,0,sh,Rétroflexe,1P+2N
屠,tu2,t,u,Simple,oral,2,0,t,Dentale,3P
屡,lu:3,l,ü,Simple,oral,3,0,l,Dentale,3P
屣,xi3,x,i,Simple,oral,3,0,x,Palatale,1P+2N
履,lu:3,l,ü,Simple,oral,3,0,l,Dentale,3P
屦,ju4,j,ü,Simple,oral,4,0,j,Palatale,1P+2N
屧,xie4,x,ie,Médiale-i,oral,4,0,x,Palatale,1P+2N
屩,jue1,j,üe,Complexe,oral,1,0,j,Palatale,1P+2N
屪,liao2,l,iao,Médiale-i,oral,2,0,l,Dentale,3P
屫,jue1,j,üe,Complexe,oral,1,0,j,Palatale,1P+2N
屮,che4,ch,e,Simple,oral,4,0,ch,Rétroflexe,3P
屯,tun2,t,un,Médiale-u,nasal,2,1,t,Dentale,3P
山,shan1,sh,an,Nasal,nasal,1,1,sh,Rétroflexe,1P+2N
屴,li4,l,i,Simple,oral,4,0,l,Dentale,3P
屹,yi4,y,i,Simple,oral,4,0,y,Semi-voyelle,2P+1N
屺,qi3,q,i,Simple,oral,3,0,q,Palatale,2P+1N
屼,wu4,w,u,Simple,oral,4,0,w,Semi-voyelle,2P+1N
屾,shen1,sh,en,Nasal,nasal,1,1,sh,Rétroflexe,1P+2N
屿,yu3,y,ü,Simple,oral,3,0,y,Semi-voyelle,2P+1N
岀,chu1,ch,u,Simple,oral,1,0,ch,Rétroflexe,3P
岁,sui4,s,ui,Médiale-u,oral,4,0,s,Sifflante,1P+2N
岂,kai3,k,ai,Simple,oral,3,0,k,Vélaire,1P+2N
岈,ya2,y,ia,Médiale-i,oral,2,0,y,Semi-voyelle,2P+1N
岊,jie2,j,ie,Médiale-i,oral,2,0,j,Palatale,1P+2N
岌,ji2,j,i,Simple,oral,2,0,j,Palatale,1P+2N
岍,qian1,q,ian,Médiale-i,nasal,1,1,q,Palatale,2P+1N
岐,qi2,q,i,Simple,oral,2,0,q,Palatale,2P+1N
岑,cen2,c,en,Nasal,nasal,2,1,c,Sifflante,1P+2N
岒,qian2,q,ian,Médiale-i,nasal,2,1,q,Palatale,2P+1N
岔,cha4,ch,a,Simple,oral,4,0,ch,Rétroflexe,3P
岖,qu1,q,ü,Simple,oral,1,0,q,Palatale,2P+1N
岗,gang3,g,ang,Nasal,nasal,3,1,g,Vélaire,1P+2N
岘,xian4,x,ian,Médiale-i,nasal,4,1,x,Palatale,1P+2N
岙,ao4,,ao,Simple,oral,4,0,Ø,Zero,3N
岚,lan2,l,an,Nasal,nasal,2,1,l,Dentale,3P
岛,dao3,d,ao,Simple,oral,3,0,d,Dentale,1P+2N
岜,ba1,b,a,Simple,oral,1,0,b,Labiale,1P+2N
岝,zuo4,z,uo,Médiale-u,oral,4,0,z,Sifflante,1P+2N
岞,zuo4,z,uo,Médiale-u,oral,4,0,z,Sifflante,1P+2N
岢,ke3,k,e,Simple,oral,3,0,k,Vélaire,1P+2N
岣,gou3,g,ou,Simple,oral,3,0,g,Vélaire,1P+2N
岧,tiao2,t,iao,Médiale-i,oral,2,0,t,Dentale,3P
岨,qu1,q,ü,Simple,oral,1,0,q,Palatale,2P+1N
岩,yan2,y,ian,Médiale-i,nasal,2,1,y,Semi-voyelle,2P+1N
岫,xiu4,x,iu,Médiale-i,oral,4,0,x,Palatale,1P+2N
岬,jia3,j,ia,Médiale-i,oral,3,0,j,Palatale,1P+2N
岭,ling3,l,ing,Médiale-i,nasal,3,1,l,Dentale,3P
岱,dai4,d,ai,Simple,oral,4,0,d,Dentale,1P+2N
岳,yue4,y,üe,Complexe,oral,4,0,y,Semi-voyelle,2P+1N
岵,hu4,h,u,Simple,oral,4,0,h,Vélaire,2P+1N
岷,min2,m,in,Médiale-i,nasal,2,1,m,Labiale,1P+2N
岸,an4,,an,Nasal,nasal,4,1,Ø,Zero,3N
岹,tiao2,t,iao,Médiale-i,oral,2,0,t,Dentale,3P
岽,dong1,d,ong,Médiale-u,nasal,1,1,d,Dentale,1P+2N
岿,kui1,k,ui,Médiale-u,oral,1,0,k,Vélaire,1P+2N
峀,xiu4,x,iu,Médiale-i,oral,4,0,x,Palatale,1P+2N
峁,mao3,m,ao,Simple,oral,3,0,m,Labiale,1P+2N
峂,tong2,t,ong,Médiale-u,nasal,2,1,t,Dentale,3P
峃,xue2,x,üe,Complexe,oral,2,0,x,Palatale,1P+2N
峄,yi4,y,i,Simple,oral,4,0,y,Semi-voyelle,2P+1N
峇,ba1,b,a,Simple,oral,1,0,b,Labiale,1P+2N
峋,xun2,x,ün,Complexe,nasal,2,1,x,Palatale,1P+2N
峒,dong4,d,ong,Médiale-u,nasal,4,1,d,Dentale,1P+2N
峓,yi2,y,i,Simple,oral,2,0,y,Semi-voyelle,2P+1N
峙,zhi4,zh,i,Simple,oral,4,0,zh,Rétroflexe,1P+2N
峚,mi4,m,i,Simple,oral,4,0,m,Labiale,1P+2N
峞,wei2,w,ui,Médiale-u,oral,2,0,w,Semi-voyelle,2P+1N
峡,xia2,x,ia,Médiale-i,oral,2,0,x,Palatale,1P+2N
峣,yao2,y,iao,Médiale-i,oral,2,0,y,Semi-voyelle,2P+1N
峤,jiao4,j,iao,Médiale-i,oral,4,0,j,Palatale,1P+2N
峥,zheng1,zh,eng,Nasal,nasal,1,1,zh,Rétroflexe,1P+2N
峦,luan2,l,uan,Médiale-u,nasal,2,1,l,Dentale,3P
峧,jiao1,j,iao,Médiale-i,oral,1,0,j,Palatale,1P+2N
峨,e2,,e,Simple,oral,2,0,Ø,Zero,3N
峪,yu4,y,ü,Simple,oral,4,0,y,Semi-voyelle,2P+1N
峭,qiao4,q,iao,Médiale-i,oral,4,0,q,Palatale,2P+1N
峰,feng1,f,eng,Nasal,nasal,1,1,f,Labiale,2P+1N
峱,nao2,n,ao,Simple,oral,2,0,n,Dentale,1P+2N
峹,tu2,t,u,Simple,oral,2,0,t,Dentale,3P
峻,jun4,j,ün,Complexe,nasal,4,1,j,Palatale,1P+2N
峿,wu2,w,u,Simple,oral,2,0,w,Semi-voyelle,2P+1N
崀,lang4,l,ang,Nasal,nasal,4,1,l,Dentale,3P
崁,kan3,k,an,Nasal,nasal,3,1,k,Vélaire,1P+2N
崂,lao2,l,ao,Simple,oral,2,0,l,Dentale,3P
崃,lai2,l,ai,Simple,oral,2,0,l,Dentale,3P
崄,xian3,x,ian,Médiale-i,nasal,3,1,x,Palatale,1P+2N
崆,kong1,k,ong,Médiale-u,nasal,1,1,k,Vélaire,1P+2N
崇,chong2,ch,ong,Médiale-u,nasal,2,1,ch,Rétroflexe,3P
崋,hua2,h,ua,Médiale-u,oral,2,0,h,Vélaire,2P+1N
崌,ju1,j,ü,Simple,oral,1,0,j,Palatale,1P+2N
崎,qi2,q,i,Simple,oral,2,0,q,Palatale,2P+1N
崏,min2,m,in,Médiale-i,nasal,2,1,m,Labiale,1P+2N
崒,cui4,c,ui,Médiale-u,oral,4,0,c,Sifflante,1P+2N
崓,gu4,g,u,Simple,oral,4,0,g,Vélaire,1P+2N
崔,cui1,c,ui,Médiale-u,oral,1,0,c,Sifflante,1P+2N
崖,ya2,y,ia,Médiale-i,oral,2,0,y,Semi-voyelle,2P+1N
崚,leng2,l,eng,Nasal,nasal,2,1,l,Dentale,3P
崛,jue2,j,üe,Complexe,oral,2,0,j,Palatale,1P+2N
崞,guo1,g,uo,Médiale-u,oral,1,0,g,Vélaire,1P+2N
崟,yin2,y,in,Médiale-i,nasal,2,1,y,Semi-voyelle,2P+1N
崠,dong1,d,ong,Médiale-u,nasal,1,1,d,Dentale,1P+2N
崤,xiao2,x,iao,Médiale-i,oral,2,0,x,Palatale,1P+2N
崦,yan1,y,ian,Médiale-i,nasal,1,1,y,Semi-voyelle,2P+1N
崧,song1,s,ong,Médiale-u,nasal,1,1,s,Sifflante,1P+2N
崩,beng1,b,eng,Nasal,nasal,1,1,b,Labiale,1P+2N
崭,chan2,ch,an,Nasal,nasal,2,1,ch,Rétroflexe,3P
崮,gu4,g,u,Simple,oral,4,0,g,Vélaire,1P+2N
崯,yin2,y,in,Médiale-i,nasal,2,1,y,Semi-voyelle,2P+1N
崱,ze2,z,e,Simple,oral,2,0,z,Sifflante,1P+2N
崳,yu2,y,ü,Simple,oral,2,0,y,Semi-voyelle,2P+1N
崴,wai3,w,uai,Médiale-u,oral,3,0,w,Semi-voyelle,2P+1N
崶,feng1,f,eng,Nasal,nasal,1,1,f,Labiale,2P+1N
崽,zai3,z,ai,Simple,oral,3,0,z,Sifflante,1P+2N
崾,yao3,y,iao,Médiale-i,oral,3,0,y,Semi-voyelle,2P+1N
崿,e4,,e,Simple,oral,4,0,Ø,Zero,3N
嵂,lu:4,l,ü,Simple,oral,4,0,l,Dentale,3P
嵄,mei3,m,ei,Simple,oral,3,0,m,Labiale,1P+2N
嵇,ji1,j,i,Simple,oral,1,0,j,Palatale,1P+2N
嵊,sheng4,sh,eng,Nasal,nasal,4,1,sh,Rétroflexe,1P+2N
嵋,mei2,m,ei,Simple,oral,2,0,m,Labiale,1P+2N
嵌,kan3,k,an,Nasal,nasal,3,1,k,Vélaire,1P+2N
嵎,yu2,y,ü,Simple,oral,2,0,y,Semi-voyelle,2P+1N
嵓,yan2,y,ian,Médiale-i,nasal,2,1,y,Semi-voyelle,2P+1N
嵖,cha2,ch,a,Simple,oral,2,0,ch,Rétroflexe,3P
嵘,rong2,r,ong,Médiale-u,nasal,2,1,r,Rétroflexe,1P+2N
嵙,ke1,k,e,Simple,oral,1,0,k,Vélaire,1P+2N
嵚,qin1,q,in,Médiale-i,nasal,1,1,q,Palatale,2P+1N
嵛,yu2,y,ü,Simple,oral,2,0,y,Semi-voyelle,2P+1N
嵝,lou3,l,ou,Simple,oral,3,0,l,Dentale,3P
嵞,tu2,t,u,Simple,oral,2,0,t,Dentale,3P
嵡,weng3,w,ong,Médiale-u,nasal,3,1,w,Semi-voyelle,2P+1N
嵩,song1,s,ong,Médiale-u,nasal,1,1,s,Sifflante,1P+2N
嵫,zi1,z,i,Simple,oral,1,0,z,Sifflante,1P+2N
嵬,wei2,w,ui,Médiale-u,oral,2,0,w,Semi-voyelle,2P+1N
嵯,cuo2,c,uo,Médiale-u,oral,2,0,c,Sifflante,1P+2N
嵴,ji2,j,i,Simple,oral,2,0,j,Palatale,1P+2N
嵺,liao2,l,iao,Médiale-i,oral,2,0,l,Dentale,3P
嶂,zhang4,zh,ang,Nasal,nasal,4,1,zh,Rétroflexe,1P+2N
嶅,ao2,,ao,Simple,oral,2,0,Ø,Zero,3N
嶋,dao3,d,ao,Simple,oral,3,0,d,Dentale,1P+2N
嶌,dao3,d,ao,Simple,oral,3,0,d,Dentale,1P+2N
嶒,ceng2,c,eng,Nasal,nasal,2,1,c,Sifflante,1P+2N
嶓,bo1,b,o,Simple,oral,1,0,b,Labiale,1P+2N
嶖,yan1,y,ian,Médiale-i,nasal,1,1,y,Semi-voyelle,2P+1N
嶙,lin2,l,in,Médiale-i,nasal,2,1,l,Dentale,3P
嶝,deng4,d,eng,Nasal,nasal,4,1,d,Dentale,1P+2N
嶞,duo4,d,uo,Médiale-u,oral,4,0,d,Dentale,1P+2N
嶟,zun1,z,un,Médiale-u,nasal,1,1,z,Sifflante,1P+2N
嶡,gui4,g,ui,Médiale-u,oral,4,0,g,Vélaire,1P+2N
嶪,ye4,y,ie,Médiale-i,oral,4,0,y,Semi-voyelle,2P+1N
嶫,ye4,y,ie,Médiale-i,oral,4,0,y,Semi-voyelle,2P+1N
嶭,e4,,e,Simple,oral,4,0,Ø,Zero,3N
嶰,xie4,x,ie,Médiale-i,oral,4,0,x,Palatale,1P+2N
嶲,xi1,x,i,Simple,oral,1,0,x,Palatale,1P+2N
嶷,yi2,y,i,Simple,oral,2,0,y,Semi-voyelle,2P+1N
巂,gui1,g,ui,Médiale-u,oral,1,0,g,Vélaire,1P+2N
巃,long2,l,ong,Médiale-u,nasal,2,1,l,Dentale,3P
巅,dian1,d,ian,Médiale-i,nasal,1,1,d,Dentale,1P+2N
巇,xi1,x,i,Simple,oral,1,0,x,Palatale,1P+2N
巉,chan2,ch,an,Nasal,nasal,2,1,ch,Rétroflexe,3P
巌,yan2,y,ian,Médiale-i,nasal,2,1,y,Semi-voyelle,2P+1N
巍,wei1,w,ui,Médiale-u,oral,1,0,w,Semi-voyelle,2P+1N
巓,dian1,d,ian,Médiale-i,nasal,1,1,d,Dentale,1P+2N
巚,yan3,y,ian,Médiale-i,nasal,3,1,y,Semi-voyelle,2P+1N
巛,chuan1,ch,uan,Médiale-u,nasal,1,1,ch,Rétroflexe,3P
巜,kuai4,k,uai,Médiale-u,oral,4,0,k,Vélaire,1P+2N
川,chuan1,ch,uan,Médiale-u,nasal,1,1,ch,Rétroflexe,3P
州,zhou1,zh,ou,Simple,oral,1,0,zh,Rétroflexe,1P+2N
巟,huang1,h,uang,Médiale-u,nasal,1,1,h,Vélaire,2P+1N
巠,jing1,j,ing,Médiale-i,nasal,1,1,j,Palatale,1P+2N
巡,xun2,x,ün,Complexe,nasal,2,1,x,Palatale,1P+2N
巢,chao2,ch,ao,Simple,oral,2,0,ch,Rétroflexe,3P
巣,chao2,ch,ao,Simple,oral,2,0,ch,Rétroflexe,3P
巤,lie4,l,ie,Médiale-i,oral,4,0,l,Dentale,3P
工,gong1,g,ong,Médiale-u,nasal,1,1,g,Vélaire,1P+2N
左,zuo3,z,uo,Médiale-u,oral,3,0,z,Sifflante,1P+2N
巧,qiao3,q,iao,Médiale-i,oral,3,0,q,Palatale,2P+1N
巨,ju4,j,ü,Simple,oral,4,0,j,Palatale,1P+2N
巩,gong3,g,ong,Médiale-u,nasal,3,1,g,Vélaire,1P+2N
巫,wu1,w,u,Simple,oral,1,0,w,Semi-voyelle,2P+1N
差,cha4,ch,a,Simple,oral,4,0,ch,Rétroflexe,3P
巯,qiu2,q,iu,Médiale-i,oral,2,0,q,Palatale,2P+1N
己,ji3,j,i,Simple,oral,3,0,j,Palatale,1P+2N
已,yi3,y,i,Simple,oral,3,0,y,Semi-voyelle,2P+1N
巳,si4,s,i,Simple,oral,4,0,s,Sifflante,1P+2N
巴,ba1,b,a,Simple,oral,1,0,b,Labiale,1P+2N
巷,xiang4,x,iang,Médiale-i,nasal,4,1,x,Palatale,1P+2N
巻,juan3,j,üan,Complexe,nasal,3,1,j,Palatale,1P+2N
巽,xun4,x,ün,Complexe,nasal,4,1,x,Palatale,1P+2N
巾,jin1,j,in,Médiale-i,nasal,1,1,j,Palatale,1P+2N
巿,fu2,f,u,Simple,oral,2,0,f,Labiale,2P+1N
币,bi4,b,i,Simple,oral,4,0,b,Labiale,1P+2N
市,shi4,sh,i,Simple,oral,4,0,sh,Rétroflexe,1P+2N
布,bu4,b,u,Simple,oral,4,0,b,Labiale,1P+2N
帄,ding1,d,ing,Médiale-i,nasal,1,1,d,Dentale,1P+2N
帅,shuai4,sh,uai,Médiale-u,oral,4,0,sh,Rétroflexe,1P+2N
帆,fan1,f,an,Nasal,nasal,1,1,f,Labiale,2P+1N
师,shi1,sh,i,Simple,oral,1,0,sh,Rétroflexe,1P+2N
希,xi1,x,i,Simple,oral,1,0,x,Palatale,1P+2N
帏,wei2,w,ui,Médiale-u,oral,2,0,w,Semi-voyelle,2P+1N
帐,zhang4,zh,ang,Nasal,nasal,4,1,zh,Rétroflexe,1P+2N
帑,tang3,t,ang,Nasal,nasal,3,1,t,Dentale,3P
帔,pei4,p,ei,Simple,oral,4,0,p,Labiale,2P+1N
帕,pa4,p,a,Simple,oral,4,0,p,Labiale,2P+1N
帖,tie3,t,ie,Médiale-i,oral,3,0,t,Dentale,3P
帗,fu2,f,u,Simple,oral,2,0,f,Labiale,2P+1N
帘,lian2,l,ian,Médiale-i,nasal,2,1,l,Dentale,3P
帙,zhi4,zh,i,Simple,oral,4,0,zh,Rétroflexe,1P+2N
帚,zhou3,zh,ou,Simple,oral,3,0,zh,Rétroflexe,1P+2N
帛,bo2,b,o,Simple,oral,2,0,b,Labiale,1P+2N
帜,zhi4,zh,i,Simple,oral,4,0,zh,Rétroflexe,1P+2N
帝,di4,d,i,Simple,oral,4,0,d,Dentale,1P+2N
帟,yi4,y,i,Simple,oral,4,0,y,Semi-voyelle,2P+1N
帡,ping2,p,ing,Médiale-i,nasal,2,1,p,Labiale,2P+1N
帣,juan4,j,üan,Complexe,nasal,4,1,j,Palatale,1P+2N
带,dai4,d,ai,Simple,oral,4,0,d,Dentale,1P+2N
帧,zhen1,zh,en,Nasal,nasal,1,1,zh,Rétroflexe,1P+2N
帨,shui4,sh,ui,Médiale-u,oral,4,0,sh,Rétroflexe,1P+2N
席,xi2,x,i,Simple,oral,2,0,x,Palatale,1P+2N
帮,bang1,b,ang,Nasal,nasal,1,1,b,Labiale,1P+2N
帯,dai4,d,ai,Simple,oral,4,0,d,Dentale,1P+2N
帰,gui1,g,ui,Médiale-u,oral,1,0,g,Vélaire,1P+2N
帱,chou2,ch,ou,Simple,oral,2,0,ch,Rétroflexe,3P
帲,ping2,p,ing,Médiale-i,nasal,2,1,p,Labiale,2P+1N
帷,wei2,w,ui,Médiale-u,oral,2,0,w,Semi-voyelle,2P+1N
常,chang2,ch,ang,Nasal,nasal,2,1,ch,Rétroflexe,3P
帹,qie4,q,ie,Médiale-i,oral,4,0,q,Palatale,2P+1N
帺,qi2,q,i,Simple,oral,2,0,q,Palatale,2P+1N
帻,ze2,z,e,Simple,oral,2,0,z,Sifflante,1P+2N
帼,guo2,g,uo,Médiale-u,oral,2,0,g,Vélaire,1P+2N
帽,mao4,m,ao,Simple,oral,4,0,m,Labiale,1P+2N
幂,mi4,m,i,Simple,oral,4,0,m,Labiale,1P+2N
幄,wo4,w,o,Simple,oral,4,0,w,Semi-voyelle,2P+1N
幅,fu2,f,u,Simple,oral,2,0,f,Labiale,2P+1N
幈,ping2,p,ing,Médiale-i,nasal,2,1,p,Labiale,2P+1N
幋,pan2,p,an,Nasal,nasal,2,1,p,Labiale,2P+1N
幌,huang3,h,uang,Médiale-u,nasal,3,1,h,Vélaire,2P+1N
幏,jia4,j,ia,Médiale-i,oral,4,0,j,Palatale,1P+2N
幔,man4,m,an,Nasal,nasal,4,1,m,Labiale,1P+2N
幕,mu4,m,u,Simple,oral,4,0,m,Labiale,1P+2N
幛,zhang4,zh,ang,Nasal,nasal,4,1,zh,Rétroflexe,1P+2N
幞,fu2,f,u,Simple,oral,2,0,f,Labiale,2P+1N
幠,hu1,h,u,Simple,oral,1,0,h,Vélaire,2P+1N
幡,fan1,f,an,Nasal,nasal,1,1,f,Labiale,2P+1N
幢,chuang2,ch,uang,Médiale-u,nasal,2,1,ch,Rétroflexe,3P
幦,mi4,m,i,Simple,oral,4,0,m,Labiale,1P+2N
幨,chan1,ch,an,Nasal,nasal,1,1,ch,Rétroflexe,3P
幩,fen2,f,en,Nasal,nasal,2,1,f,Labiale,2P+1N
幪,meng2,m,eng,Nasal,nasal,2,1,m,Labiale,1P+2N
幭,mie4,m,ie,Médiale-i,oral,4,0,m,Labiale,1P+2N
幮,chu2,ch,u,Simple,oral,2,0,ch,Rétroflexe,3P
幯,jie2,j,ie,Médiale-i,oral,2,0,j,Palatale,1P+2N
幰,xian3,x,ian,Médiale-i,nasal,3,1,x,Palatale,1P+2N
干,gan1,g,an,Nasal,nasal,1,1,g,Vélaire,1P+2N
平,ping2,p,ing,Médiale-i,nasal,2,1,p,Labiale,2P+1N
年,nian2,n,ian,Médiale-i,nasal,2,1,n,Dentale,1P+2N
幵,qian1,q,ian,Médiale-i,nasal,1,1,q,Palatale,2P+1N
并,bing4,b,ing,Médiale-i,nasal,4,1,b,Labiale,1P+2N
幷,bing4,b,ing,Médiale-i,nasal,4,1,b,Labiale,1P+2N
幸,xing4,x,ing,Médiale-i,nasal,4,1,x,Palatale,1P+2N
幺,yao1,y,iao,Médiale-i,oral,1,0,y,Semi-voyelle,2P+1N
幻,huan4,h,uan,Médiale-u,nasal,4,1,h,Vélaire,2P+1N
幼,you4,y,iu,Médiale-i,oral,4,0,y,Semi-voyelle,2P+1N
幽,you1,y,iu,Médiale-i,oral,1,0,y,Semi-voyelle,2P+1N
广,guang3,g,uang,Médiale-u,nasal,3,1,g,Vélaire,1P+2N
庀,pi3,p,i,Simple,oral,3,0,p,Labiale,2P+1N
庁,ting1,t,ing,Médiale-i,nasal,1,1,t,Dentale,3P
広,guang3,g,uang,Médiale-u,nasal,3,1,g,Vélaire,1P+2N
庄,zhuang1,zh,uang,Médiale-u,nasal,1,1,zh,Rétroflexe,1P+2N
庅,me5,m,e,Simple,oral,5,0,m,Labiale,1P+2N
庆,qing4,q,ing,Médiale-i,nasal,4,1,q,Palatale,2P+1N
庇,bi4,b,i,Simple,oral,4,0,b,Labiale,1P+2N
庈,qin2,q,in,Médiale-i,nasal,2,1,q,Palatale,2P+1N
庉,dun4,d,un,Médiale-u,nasal,4,1,d,Dentale,1P+2N
床,chuang2,ch,uang,Médiale-u,nasal,2,1,ch,Rétroflexe,3P
庋,gui3,g,ui,Médiale-u,oral,3,0,g,Vélaire,1P+2N
序,xu4,x,ü,Simple,oral,4,0,x,Palatale,1P+2N
庐,lu2,l,u,Simple,oral,2,0,l,Dentale,3P
庑,wu3,w,u,Simple,oral,3,0,w,Semi-voyelle,2P+1N
庒,zhuang1,zh,uang,Médiale-u,nasal,1,1,zh,Rétroflexe,1P+2N
库,ku4,k,u,Simple,oral,4,0,k,Vélaire,1P+2N
应,ying4,y,ing,Médiale-i,nasal,4,1,y,Semi-voyelle,2P+1N
底,di3,d,i,Simple,oral,3,0,d,Dentale,1P+2N
庖,pao2,p,ao,Simple,oral,2,0,p,Labiale,2P+1N
店,dian4,d,ian,Médiale-i,nasal,4,1,d,Dentale,1P+2N
庙,miao4,m,iao,Médiale-i,oral,4,0,m,Labiale,1P+2N
庚,geng1,g,eng,Nasal,nasal,1,1,g,Vélaire,1P+2N
府,fu3,f,u,Simple,oral,3,0,f,Labiale,2P+1N
庞,pang2,p,ang,Nasal,nasal,2,1,p,Labiale,2P+1N
废,fei4,f,ei,Simple,oral,4,0,f,Labiale,2P+1N
庠,xiang2,x,iang,Médiale-i,nasal,2,1,x,Palatale,1P+2N
庤,zhi4,zh,i,Simple,oral,4,0,zh,Rétroflexe,1P+2N
庥,xiu1,x,iu,Médiale-i,oral,1,0,x,Palatale,1P+2N
度,du4,d,u,Simple,oral,4,0,d,Dentale,1P+2N
座,zuo4,z,uo,Médiale-u,oral,4,0,z,Sifflante,1P+2N
庬,pang2,p,ang,Nasal,nasal,2,1,p,Labiale,2P+1N
庭,ting2,t,ing,Médiale-i,nasal,2,1,t,Dentale,3P
庱,cheng3,ch,eng,Nasal,nasal,3,1,ch,Rétroflexe,3P
庳,bi4,b,i,Simple,oral,4,0,b,Labiale,1P+2N
庴,ji2,j,i,Simple,oral,2,0,j,Palatale,1P+2N
庵,an1,,an,Nasal,nasal,1,1,Ø,Zero,3N
庶,shu4,sh,u,Simple,oral,4,0,sh,Rétroflexe,1P+2N
康,kang1,k,ang,Nasal,nasal,1,1,k,Vélaire,1P+2N
庸,yong1,y,iong,Médiale-i,nasal,1,1,y,Semi-voyelle,2P+1N
庹,tuo3,t,uo,Médiale-u,oral,3,0,t,Dentale,3P
庼,qing3,q,ing,Médiale-i,nasal,3,1,q,Palatale,2P+1N
庾,yu3,y,ü,Simple,oral,3,0,y,Semi-voyelle,2P+1N
庿,miao4,m,iao,Médiale-i,oral,4,0,m,Labiale,1P+2N
廀,sou1,s,ou,Simple,oral,1,0,s,Sifflante,1P+2N
廃,fei4,f,ei,Simple,oral,4,0,f,Labiale,2P+1N
廆,hui4,h,ui,Médiale-u,oral,4,0,h,Vélaire,2P+1N
廉,lian2,l,ian,Médiale-i,nasal,2,1,l,Dentale,3P
廊,lang2,l,ang,Nasal,nasal,2,1,l,Dentale,3P
廋,sou1,s,ou,Simple,oral,1,0,s,Sifflante,1P+2N
廌,zhi4,zh,i,Simple,oral,4,0,zh,Rétroflexe,1P+2N
廏,jiu4,j,iu,Médiale-i,oral,4,0,j,Palatale,1P+2N
廑,jin3,j,in,Médiale-i,nasal,3,1,j,Palatale,1P+2N
